medicine,description
Paracetamol,For headache and mild pain relief
Paracetamol,Reduces fever and body temperature
Cough Syrup,Relieves cough and throat irritation
Antacid,Neutralizes stomach acid
Anti-nausea tablets,Prevents nausea and vomiting
Anti-diarrheal,Controls loose motions
Laxative,Relieves constipation
Throat lozenges,Soothes sore throat
Decongestant,Clears nasal congestion
Pain relief gel,Topical pain relief for muscles
Anti-inflammatory,Reduces joint inflammation
Antacid,Treats heartburn and acid reflux
Antihistamine,Relieves allergic reactions
Sleep aid,Helps with sleep disorders
Stress relief tablets,Reduces anxiety and stress
Cold medicine,Treats common cold symptoms
Flu medicine,Relieves flu symptoms
Migraine relief,Specific for severe headaches
Pain relief,General pain relief
Dental gel,Numbs tooth pain
Paracetamol,Strong headache relief
Paracetamol,High fever reduction
Cough Syrup,Chest congestion relief
Antacid,Severe stomach pain relief
Anti-nausea tablets,Motion sickness prevention
Anti-diarrheal,Chronic diarrhea treatment
Laxative,Strong constipation relief
Throat lozenges,Throat infection treatment
Decongestant,Sinus congestion relief
Pain relief gel,Muscle spasm relief
